image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_20_16.jpg,3,0.9568345,1408,1700,2070,2161
VAIPE_P_129_2.jpg,43,0.9999963,1851,972,2729,1493
VAIPE_P_129_2.jpg,43,0.9999964,1609,1548,2550,2058
VAIPE_P_129_2.jpg,91,0.9999982,1715,1263,2446,1690
VAIPE_P_129_2.jpg,91,0.9999988,821,1366,1592,1753
VAIPE_P_129_2.jpg,75,0.99900085,1821,1936,2305,2328
VAIPE_P_129_2.jpg,75,0.99696964,1305,1041,1747,1399
VAIPE_P_156_23.jpg,107,0.99225134,1199,1996,1795,2335
VAIPE_P_156_23.jpg,97,0.9564526,631,2471,1088,2821
VAIPE_P_156_23.jpg,70,0.99846196,1258,1692,1514,1954
VAIPE_P_20_32.jpg,3,0.9798538,612,1932,1109,2721
VAIPE_P_10_0.jpg,54,0.9999943,1092,1980,1637,2509
VAIPE_P_51_2.jpg,10,0.99999857,630,1925,1464,2357
VAIPE_P_51_2.jpg,10,0.9999987,1306,1576,2137,1971
VAIPE_P_51_2.jpg,103,0.9999844,1228,2579,1777,3038
VAIPE_P_51_2.jpg,89,0.9997174,1361,2089,2072,2415
VAIPE_P_179_5.jpg,22,0.9794558,591,233,682,321
VAIPE_P_179_5.jpg,64,0.9999981,564,468,671,579
VAIPE_P_179_5.jpg,22,0.99898857,511,286,596,370
VAIPE_P_0_9.jpg,8,0.9999924,1012,2467,1310,2945
VAIPE_P_0_9.jpg,37,0.99998784,1368,1594,1604,1921
VAIPE_P_65_8.jpg,95,0.99996626,1030,1409,1410,1752
VAIPE_P_167_19.jpg,43,0.9870777,990,2120,1292,2628
VAIPE_P_167_19.jpg,43,0.9984157,1627,2262,1997,2738
VAIPE_P_167_19.jpg,19,0.9999726,1388,2070,1647,2575
VAIPE_P_167_19.jpg,19,0.99992585,139,2040,502,2510
VAIPE_P_167_19.jpg,91,0.9999045,1314,1722,1574,2145
VAIPE_P_167_19.jpg,75,0.93790436,2118,2138,2336,2424
VAIPE_P_167_19.jpg,75,0.9406182,1908,2768,2120,3055
VAIPE_P_174_14.jpg,26,0.93352616,1422,1087,2094,1423
VAIPE_P_174_14.jpg,63,0.6370928,702,1012,1026,1264
VAIPE_P_174_14.jpg,70,0.72375417,2121,1416,2449,1668
VAIPE_P_174_14.jpg,60,0.7663096,2192,1005,2634,1399
VAIPE_P_170_1.jpg,56,0.99991465,920,1898,1702,2361
VAIPE_P_156_6.jpg,105,0.9994091,702,1986,1098,2941
VAIPE_P_156_6.jpg,97,0.98754287,1064,1574,1700,2066
VAIPE_P_156_6.jpg,70,0.99059993,1198,2211,1580,2601
VAIPE_P_172_7.jpg,107,0.9295167,741,2454,1731,3127
VAIPE_P_172_7.jpg,59,0.9995127,491,2167,907,2575
VAIPE_P_172_7.jpg,70,0.9259175,1162,2165,1586,2587
VAIPE_P_101_0.jpg,89,0.99998105,1719,1823,2435,2266
VAIPE_P_101_0.jpg,8,0.9999652,1753,1394,2176,1930
VAIPE_P_101_0.jpg,64,0.9999999,1976,2257,2404,2683
VAIPE_P_55_7.jpg,107,0.99999535,646,317,880,759
VAIPE_P_55_7.jpg,107,0.99993145,814,792,1189,1010
VAIPE_P_50_1.jpg,59,0.99999595,1776,2149,2084,2460
VAIPE_P_50_1.jpg,59,0.999724,1551,2374,1864,2694
VAIPE_P_50_1.jpg,61,0.9999957,1035,1769,1791,2305
VAIPE_P_0_2.jpg,37,0.9806498,1342,2358,1629,2757
VAIPE_P_0_2.jpg,8,0.9999871,766,1895,1305,2306
VAIPE_P_98_1.jpg,107,0.99969757,1521,2360,2656,2941
VAIPE_P_98_1.jpg,107,0.99998367,729,1229,1323,1821
VAIPE_P_98_1.jpg,107,0.99999607,1589,1644,2107,2139
VAIPE_P_98_1.jpg,107,0.99999905,881,2025,1680,2739
VAIPE_P_98_1.jpg,107,0.99999547,854,2923,1298,3560
VAIPE_P_98_1.jpg,107,0.9999995,303,1876,835,2512
VAIPE_P_163_7.jpg,43,0.9999677,914,1563,1786,2420
VAIPE_P_163_7.jpg,91,0.9999982,1543,2455,2234,3182
VAIPE_P_163_7.jpg,105,0.9999075,868,1182,1914,1672
VAIPE_P_70_1.jpg,91,0.9999933,217,1884,1135,2609
VAIPE_P_70_1.jpg,10,0.99997056,1098,1317,1658,2602
VAIPE_P_70_1.jpg,10,0.9999863,1216,2309,2417,3232
VAIPE_P_70_1.jpg,64,0.99999857,559,2568,1203,3231
VAIPE_P_70_1.jpg,64,0.99999857,1550,1621,2162,2219
VAIPE_P_20_21.jpg,3,0.9960944,676,2562,1302,3229
VAIPE_P_169_5.jpg,20,0.99998844,1196,1290,2126,1976
VAIPE_P_169_5.jpg,20,0.999985,525,1675,1419,2545
VAIPE_P_66_4.jpg,64,0.9999912,1470,2045,1762,2319
VAIPE_P_66_4.jpg,64,0.99999535,1693,1598,1963,1860
VAIPE_P_66_4.jpg,47,0.99981374,1136,2094,1315,2276
VAIPE_P_33_4.jpg,107,0.9987214,1472,1889,2504,2886
VAIPE_P_33_4.jpg,107,0.99999964,2713,1095,3525,1874
VAIPE_P_33_4.jpg,107,0.9999993,1922,58,3036,1151
VAIPE_P_33_4.jpg,107,0.99998903,766,757,1823,1613
VAIPE_P_164_33.jpg,107,0.97654563,2020,637,2395,1397
VAIPE_P_164_33.jpg,107,0.98765135,1351,878,2132,1227
VAIPE_P_164_33.jpg,95,0.99995375,1039,1873,1456,2277
VAIPE_P_167_3.jpg,2,0.9999893,1197,1989,1578,2885
VAIPE_P_167_3.jpg,2,0.9999894,1511,1890,1873,2752
VAIPE_P_167_3.jpg,91,0.9999893,511,1902,1025,2765
VAIPE_P_174_18.jpg,107,0.9690016,1041,1878,1571,2590
VAIPE_P_174_18.jpg,60,0.7975208,1140,1303,1607,1819
VAIPE_P_174_18.jpg,70,0.584389,527,2963,923,3384
VAIPE_P_174_18.jpg,59,0.98634666,1643,1743,1949,2037
VAIPE_P_169_12.jpg,20,0.99995863,1498,1868,2449,2432
VAIPE_P_169_12.jpg,20,0.99993086,1779,2352,2266,3345
VAIPE_P_3_1.jpg,64,0.99999905,1222,2382,1642,2808
VAIPE_P_3_1.jpg,64,0.99999905,1683,2023,2098,2440
VAIPE_P_3_1.jpg,79,0.9999621,1137,1663,1678,1987
VAIPE_P_65_1.jpg,95,0.99996006,1657,2096,1971,2408
VAIPE_P_164_30.jpg,107,0.9057526,1968,1808,2737,2383
VAIPE_P_164_30.jpg,107,0.63963604,1492,990,2037,1542
VAIPE_P_164_30.jpg,95,0.99993694,2035,1112,2385,1438
VAIPE_P_162_6.jpg,107,0.9806471,629,2112,1312,2451
VAIPE_P_162_6.jpg,73,0.97213644,905,2410,1197,2740
VAIPE_P_58_8.jpg,107,0.9983621,1430,2049,2357,2943
VAIPE_P_58_8.jpg,107,0.94028294,921,224,1857,1284
VAIPE_P_58_8.jpg,107,0.9969939,3006,395,3587,972
VAIPE_P_58_8.jpg,107,0.9997465,2775,1353,3239,1805
VAIPE_P_58_8.jpg,107,0.9994804,2082,367,2508,809
VAIPE_P_152_0.jpg,89,0.98984516,557,2647,1338,3220
VAIPE_P_152_0.jpg,19,0.99957806,1193,2448,1762,3396
VAIPE_P_9_5.jpg,107,0.9999733,1167,698,1764,1269
VAIPE_P_9_5.jpg,107,0.99793196,2078,24,2524,873
VAIPE_P_9_5.jpg,107,0.99782676,2920,743,3755,1191
VAIPE_P_9_5.jpg,107,0.8853179,2354,1256,2738,1647
VAIPE_P_9_5.jpg,107,0.99891186,2407,2131,2799,2541
VAIPE_P_67_0.jpg,90,0.9889641,1823,1283,2400,1795
VAIPE_P_67_0.jpg,43,0.99999154,1288,1208,1764,1940
VAIPE_P_67_0.jpg,43,0.99993455,1847,961,2666,1301
VAIPE_P_81_0.jpg,104,0.9999901,1203,2756,2413,3415
VAIPE_P_81_0.jpg,64,0.99999404,1824,1600,2364,2157
VAIPE_P_81_0.jpg,64,0.99999535,1157,1849,1676,2390
VAIPE_P_162_0.jpg,89,0.9999871,1318,1829,2063,2228
VAIPE_P_160_17.jpg,26,0.70845836,668,2744,1358,3557
VAIPE_P_160_17.jpg,104,0.999984,975,2237,1997,2964
VAIPE_P_160_17.jpg,26,0.99999154,664,2117,1519,2703
VAIPE_P_160_17.jpg,107,0.9996573,2135,1857,2687,2680
VAIPE_P_160_17.jpg,107,0.9986539,272,2627,743,3453
VAIPE_P_175_9.jpg,75,0.56691283,1474,1111,1714,1335
VAIPE_P_175_9.jpg,70,0.95906305,1712,1544,1991,1800
VAIPE_P_175_9.jpg,107,0.9158119,1343,1308,1679,1608
VAIPE_P_164_14.jpg,24,0.9999726,1424,2194,2155,2800
VAIPE_P_164_14.jpg,24,0.99997425,1642,1460,2233,2153
VAIPE_P_164_14.jpg,95,0.9886824,899,1828,1294,2226
VAIPE_P_39_20.jpg,80,0.99968696,1507,2615,2046,3162
VAIPE_P_39_20.jpg,30,0.999987,1435,2139,1832,2553
VAIPE_P_153_18.jpg,107,0.9500867,1817,2321,2357,3112
VAIPE_P_153_18.jpg,59,0.99957377,1378,2145,1744,2519
VAIPE_P_153_18.jpg,29,0.99066997,1614,2514,1918,2954
VAIPE_P_168_16.jpg,101,0.9997955,1126,1898,1690,2455
VAIPE_P_168_16.jpg,107,0.9989728,553,2634,1080,2881
VAIPE_P_168_16.jpg,107,0.84136194,1542,1150,2238,1599
VAIPE_P_20_19.jpg,3,0.9703396,893,2146,1299,3003
VAIPE_P_171_8.jpg,89,0.9999808,1306,1547,1821,2003
VAIPE_P_171_8.jpg,107,0.5724574,1814,1725,2531,2072
VAIPE_P_171_8.jpg,43,0.9319096,1483,2007,2191,2291
VAIPE_P_171_8.jpg,107,0.94121575,967,1846,1595,2170
VAIPE_P_171_8.jpg,73,0.99988616,1844,1225,2238,1500
VAIPE_P_171_8.jpg,89,0.99998915,816,2567,1353,3015
VAIPE_P_171_8.jpg,73,0.9983796,863,1418,1184,1761
VAIPE_P_39_10.jpg,80,0.9998072,2244,1873,2706,2338
VAIPE_P_39_10.jpg,91,0.999998,1739,1181,2431,1772
VAIPE_P_39_10.jpg,30,0.9999844,2140,2273,2445,2572
VAIPE_P_159_11.jpg,103,0.99999475,1364,1760,1773,2321
VAIPE_P_163_29.jpg,43,0.9996147,1191,1968,1876,2548
VAIPE_P_163_29.jpg,107,0.97719973,1087,1606,1747,2095
VAIPE_P_163_29.jpg,91,0.9999976,643,1508,1167,2102
VAIPE_P_163_29.jpg,105,0.9997509,2002,1843,2369,2614
VAIPE_P_162_4.jpg,107,0.93122923,1128,1501,1717,2082
VAIPE_P_162_4.jpg,73,0.97655225,1704,2176,2097,2526
VAIPE_P_68_0.jpg,104,0.99928963,443,2751,1520,3463
VAIPE_P_68_0.jpg,40,0.99776447,1506,1826,1947,2261
VAIPE_P_81_9.jpg,107,0.9999994,2029,2122,2727,2851
VAIPE_P_81_9.jpg,107,0.9999976,1925,355,2529,989
VAIPE_P_81_9.jpg,107,0.9995289,938,919,1824,1658
VAIPE_P_81_9.jpg,107,0.9999896,3191,683,3506,1009
VAIPE_P_81_9.jpg,107,0.9999275,2965,1593,3267,1897
VAIPE_P_81_9.jpg,107,0.99999785,2432,1093,2718,1392
VAIPE_P_173_20.jpg,89,0.86116135,1791,1773,2023,2095
VAIPE_P_173_20.jpg,43,0.83395815,2389,2700,2798,2891
VAIPE_P_173_20.jpg,43,0.9607497,409,1615,593,2011
VAIPE_P_173_20.jpg,107,0.5738601,924,2514,1370,2730
VAIPE_P_17_13.jpg,84,0.99956375,1311,2301,1607,2611
VAIPE_P_54_3.jpg,107,0.99999225,1976,365,2811,1108
VAIPE_P_54_3.jpg,107,0.9999436,1354,2031,2043,2753
VAIPE_P_54_3.jpg,107,0.9999156,2421,1541,3009,2598
VAIPE_P_54_3.jpg,107,0.9999658,3217,1395,3566,1738
VAIPE_P_54_3.jpg,107,0.9999945,1392,616,1720,949
VAIPE_P_54_3.jpg,107,0.99995935,3042,110,3381,480
VAIPE_P_55_4.jpg,87,0.9999385,848,2178,1498,2967
VAIPE_P_67_3.jpg,90,0.98113775,2499,645,3203,1143
VAIPE_P_67_3.jpg,43,0.9999616,2794,1195,3655,1727
VAIPE_P_67_3.jpg,43,0.9999975,1972,1243,2360,2127
VAIPE_P_164_9.jpg,24,0.99996245,1744,1424,2074,2222
VAIPE_P_164_9.jpg,95,0.9978933,702,1739,1105,2135
VAIPE_P_164_9.jpg,24,0.99997175,1286,1584,1618,2398
VAIPE_P_158_20.jpg,43,0.9986274,1459,1693,1904,2173
VAIPE_P_158_20.jpg,43,0.9998659,953,1971,1384,2456
VAIPE_P_158_20.jpg,91,0.9998921,1047,1568,1407,1988
VAIPE_P_158_20.jpg,91,0.9999927,1733,1863,2003,2319
VAIPE_P_158_20.jpg,7,0.9935673,1375,1704,1572,1913
VAIPE_P_158_20.jpg,7,0.98309684,979,1790,1180,1996
VAIPE_P_145_3.jpg,26,0.9998128,611,2840,1366,3561
VAIPE_P_145_3.jpg,26,0.9998814,822,1761,1433,2500
VAIPE_P_145_3.jpg,91,0.999984,378,2032,1067,2474
VAIPE_P_145_3.jpg,64,0.9999939,315,2383,766,2829
VAIPE_P_145_3.jpg,51,0.9998727,1323,1857,1738,2275
VAIPE_P_145_3.jpg,51,0.9998871,936,2470,1360,2881
VAIPE_P_145_3.jpg,64,0.99998796,1674,1982,2121,2432
VAIPE_P_63_5.jpg,89,0.9999937,1289,2346,1889,2875
VAIPE_P_63_5.jpg,27,0.99997723,998,2442,1392,3011
VAIPE_P_167_18.jpg,43,0.9998889,859,1571,1650,2476
VAIPE_P_167_18.jpg,43,0.99982786,664,1900,1489,2766
VAIPE_P_167_18.jpg,19,0.9999844,687,2389,1195,3395
VAIPE_P_167_18.jpg,19,0.99997354,625,1062,1684,1590
VAIPE_P_167_18.jpg,91,0.99977964,1707,1131,2191,1971
VAIPE_P_167_18.jpg,75,0.94873255,743,658,1272,1091
